Λούκης, Γιώργος  Ιωάννης 
Βούλγαρης, Ζαννής Ν. 
Κακαβάνης, Ζαννής Δ. 
Κανελλοπούλου, Μαρία Δ. 
Μικρός, Σωτήριος 
Χαραλαμπόπουλος, Γεώργιος Ι. 
Γιανναρέλης, Γεώργιος Ι. 
Πράπα, Αυγουστίνα 
Κωστής, Κωνσταντίνος 
Φουρλάς, Δημήτριος 
Κατσένη, Μαρία 
Καπετανάκης, Ηλίας 
Κοτσιφάκος, Ευάγγελος 
Αδάμος, Δημήτριος Γ. 
Γιγουρτσή,  Ευθυμία-Μαρία 
Καραΐσκος, Δημήτριος 
Ρίγκερς, Τσαμά 
Παπαδημητρίου, Γεωργία 
Βέμου, Κωνσταντίνα 
Κοκκινάκης, Χρήστος 
Γιαννακάκος, Νικόλαος 
Πανόπουλος, Ιωάννης 
Αντωνόπουλος, Παναγιώτης 
Μακρυδάκη, Αικατερίνη 
Μπότης, Δημήτρης 
Αγγελής, Γιώργος 
Τσιώρας, Δημήτριος 
Κοτσικάρης, Γρηγόρης Ν. 
Τεντζεράκη, Μαρία 
Κορού, Λίνα 
Αμανατίδης, Χρήστος 
Σαμουηλίδης, Χρήστος 
Μπέλσης, Πέτρος 
Οικονομάκου, Θεοδώρα 
Κοκκινοβασίλη, Παναγιώτα Κ. 
Καλλίρης, Ανδρέας Ι. 
Παππά, Παρασκευή 
Φιλιππακοπούλου, Μαρία Α. 
Κουντούρης, Τηλέμαχος Δ. 
Σκιά, Σοφία Π. 
Παπαδάτος, Χαράλαμπος Ν. 
Prigkis, Areti Panteli 
Mpisiotis, Konstantinos 
Βλαχάκης, Νικόλαος 
Τσιλίρα, Αγγελική 
Κούρσαρη, Ελένη Γ. 
Κωνσταντίνου, Θεμιστοκλής Γρ. 
Σανίνας, Κωνσταντίνος 
Σερελέας, Παναγιώτης Χρ. 
Γκορτζής, Κωνσταντίνος Γεωργίου 
Τσώχου, Αγγελική 
Καλαντώνης, Πέτρος Γρ. 
Γραβάλος, Βασίλειος Ν. 
Κατσαρός, Κωνσταντίνος 
Κρασονικολάκης, Ιωάννης 
Πετεινερή, Διονυσία 
Πετρής, Δημήτριος 
Νικολαϊδη, Κων/να - Τσαμπίκα 
Χαλκίδη, Μαρία 
Κούτσικος, Βασίλειος 
Χριστοπούλου, Ελένη 
Τζίμα, Σταυρούλα 
Αλεξοπούλου, Μαρίνα 
Λουκής, Λευτέρης 
Μυλωνά, Αικατερίνη 
Ρεμούνδου, Δήμητρα 
Μπασδέκη, Δήμητρα 
Βουλαλάς, Γιώργος 
Αναγνώστου, Ευαγγελία 
Μπρακατσούλας, Σωτήρης 
Κυριακοπούλου, Αντωνία 
Βασιλειάδου, Πολυξένη 
Καρακουλάκης, Ηλίας 
Οικονομίδης, Δημήτριος 
Μπλάντα, Ελένη 
Τσουμάνης, Σταύρος 
Μιχαηλίδου, Νατάσα 
Παπαδάκης, Κωνσταντίνος 
Κεφάλα, Άννα Σ. 
Τζωρμπατζάκης, Αλέξης 
Σάκκη, Μαριάννα 
Καρύδα, Μαρία 
Καραγιάννης, Φρατζής 
Ζιώγας, Βασίλειος 
Δερπάνης, Δημήτριος Β. 
Παναγιωτόπουλος, Μαρίνος 
Σωτηροπούλου, Χριστίνα 
Τσαπραλή, Ευγενία 
Φράγκου, Κατερίνα 
Παρίσης, Γεώργιος-Άγγελος 
Παναγιώτου, Ηρακλής 
Διαμαντόπουλος, Ιωάννης 
Αντωνιάδου, Γεωργία 
Λεπενιώτου, Αλεξάνδρα 
Δαλακούρας, Κωνσταντίνος Ι. 
Αναγνωστόπουλος, Γεώργιος 
Αρίδας, Αντώνιος 
Κρούσκα, Παναγιώτα 
Σούκερα, Ευλαμπία 
Τσολακίδης, Στράτος 
Πετράκη, Ευαγγελία 
Τσούμας, Βασίλης 
Ανδρούτσος, Αθανάσιος 
Κουφουδάκης, Ιωάννης Π. 
Ροβιθάκης, Γεώργιος 
Λαγού, Ελισάβετ 
Τριάντος, Πέτρος Σ. 
Μπίνας, Σωτήριος Γ. 
Κονόμος, Γεώργιος Ι. 
Καραγεώργου, Ειρήνη Θ. 
Ευθυμιόπουλος, Πέτρος 
Παυλόπουλος, Φώτης Χαρ. 
Στρίγκου, Σοφία Σ. 
Ζαχαρίου, Στέλιος 
Διονυσοπούλου, Λεμονιά Θεοφ. 
Μπούρας, Αντώνιος 
Γενιτσαρόπουλος, Χρήστος Δ. 
Λουλουδάκης, Εμμανουήλ 
Τσολάκου, Ευανθία 
Κουρμπέτης, Κωνσταντίνος Νικηφ. 
Κοσσιέρη, Ευαγγελία 
Κεχαγιά, Κωνσταντίνα 
Παππάς, Αθανάσιος Δημ. 
Τερζόπουλος, Χρήστος Χαρ. 
Βατρικάς, Αναστάσιος 
Δρατζίδης, Κωνσταντίνος 
Φερεντίνος, Διονύσιος 
Τασσόπουλος, Κυριάκος 
Γυμνόπουλος, Λάζαρος Π. 
Καρατάσος, Θεόδωρος 
Κουκουτσέλος, Αθανάσιος 
Ντρίτσου, Βασιλική 
Κατωπόδης, Ιωάννης Κων. 
Βαμβακίδης, Δημήτριος Νικ. 
Οικονομόπουλος, Δημήτριος Ιωάννη 
Τσίχλη, Μαρία Γεωργίου 
Σκοπελίτης, Εμμανουήλ Φ. 
Γουργιώτου, Ευθυμία Αν. 
Ρούσσος, Λεωνίδας 
Paraskevaidis, Dimitris D. 
Αθαναηλέας, Σωτήριος 
Κοσιάρης, Αλέξανδρος 
Αραβογλιάδης,  Παντελής 
Φραγκιαδάκης, Ιωάννης 
Μουρίκη, Μαρία 
Δήμου, Αναστάσιος Ε. 
Ζήζος, Μάρκος 
Μπουρδάκου, Ευδοκία 
Οικονόμου, Γιώργος 
Καλόγηρος, Κωνσταντίνος 
Γκανόγιαννης, Ανέστης 
Μπίντζιος, Ευάγγελος Γ. 
Γεωργιάδης, Χαράλαμπος 
Λούτας, ΝικόλαοςΧέλμης, Γεώργιος
Ρούμπου, Αικατερίνη 
Βλαχόπουλος, Νικόλαος Δ. 
Κεχρής, Χρήστος Β. 
Παπαδοπούλου, Καλλιρόη Δ. 
Σπαθάρας, Δημήτριος Παν. 
Γιαννούκου, Βασιλική Νικ. 
Τουμάσης, Παναγιώτης Σ. 
Stefanis,  Eleftherios C. 
Καραβέλας, Πέτρος 
Τάραμα, Αγγελική 
Τερέζης, Αθανάσιος 
Στεφανίδης, Χαράλαμπος 
