Ζαφείρης, Βασίλειος 
Σουπιώνης, Ιωάννης 
Αλεξανδρής, Γεώργιος Π. 
Ανδρικόπουλος, Παναγιώτης Κ. 
Mavridis, Pavlos 
Αντωνιάδης, Παναγιώτης 
Bornea, Mihaela Ancuta 
Κωστόπουλος, Αλέξανδρος Γ. 
Kostopoulos, Alexandros G. 
Kyriakopoulou, Antonia 
Tsatsaronis, Georgios 
Κούρουπας, Γεώργιος 
Πετράκη, Ευαγγελία Ν. 
Kintis, Marinos 
Tsilopoulos, Christos 
Stergiopoulos, George 
Virvilis-Kollitiris, Nikolaos 
Zois, Georgios 
Οικονόμου, Γεώργιος 
