Vasilellis, Efstratios
Κρητικόπουλος, Απόστολος
Χατζηελευθερίου, Λίβια-Έλενα
Kousi, Sofia
Νικολουτσόπουλος, Σωτήριος
Ευαγγέλου, Ιορδάνης
Βίτσας, Νικόλαος
Papasotiropoulos,  Georgios
Μαρούλης, Ευστάθιος
Παπαδημητρίου, Ευαγγελία
Δεδούσης, Παναγιώτης
Παππάς, Δημήτριος
Τσικιρίδης, Αρτέμ
Τομαράς, Δημήτριος
Darzanos, George
Barakitis, Nikos
Tsioutas, Konstantinos
Lykou, Georgia
Chalkidis, Ilias
Κωτσόπουλος, Δημοσθένης
